section-2.conf.json,level-2-1.csv,act-2.csv
|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#
|, , , , , , , , , , , , , , , , , , , , , , , , , , ,|
|, , , , , , , , , , , , , , , , , , , , , , , , , , ,|
|, , , , , , , , , , , , , , , , , , ,c1, , , , , , ,,|
|, , , , , , ,-,-, , , , , , , , , , ,c1, , , , , , ,,|
|, , ,-, , , ,^,^, , , ,#, , , , , , ,c1, , , , , , ,,|
|, , , , , , , , , , , ,^, , , ,$, , ,c1, , , , , , ,,|
|,-, , , , , , , , , , ,^, , , ,-, , ,c1, , , , , , ,,|
|, , , , , , , , , , , ,^, , , , , , ,c1, , , , , , ,,|
|, , , ,-,-,-,-, , , , ,|,^,^,^,^,^,^, , ,-, , , , , ,|
|,-, , , , , , , , , , ,#,-,-,-,-,#,^, , , , , , ,,a2,|
|, , , , , , , , , , , ,|,@, , , ,|,^, , , , , , , ,-,#
#,-,-,-,-, , , , , , , ,#,-,#, , ,|,^, , , , , , ,,  ,#
|, , , , , , ,-, , , , ,|, ,|, , , , , , , , , ,-,-,#,#
|, , , , , , , ,,c1,-,-,|, ,|,-, , , , , , , , , , , ,|
|,P, ,a1,$, ,, ,,c1,h,,|, ,|, ,*, , ,c2, , , , , , , ,|
#,-,-,-,-,,, ,-,-,-,-,#, ,#,c2,c2,c2,c2,c2,^,^,^,^,^,^,^,|
|, , , , ,^,^,^, , , ,-, , , , , , , , , , , , , , , ,|
 , , , , , , , , , , , , , , , , , , , , , , , , , , , 
